1,Building Summary Midrise Apartment pre-1980 construction,,,,
UWG,,,Value,Value,Value
areaFloor,,Total Floor Area (m2),3135,3135,3135
nFloor,,Number of Floors,4,4,4
glazing,,Total,0.1499,0.1499,0.1499
hCeiling,,Floor to Ceiling Height (m),3.05,3.05,3.05
areaWall,,Gross Dimensions - Total Area (m2),1542,1542,1542
ver2hor,,Wall to Skin Ratio,0.663037589,0.663037589,0.663037589
areaRoof,,Gross Dimensions - Total Area (m2),783.66,783.66,783.66
areaWindow,,Total Area (m2),231.09,231.09,231.09
